"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 14 18:50:14 EEST 2022","Thu Apr 14 18:50:35 EEST 2022","21035","","Expired Link Error","","Expired Link Error","#10 User can click on 'Deposit' button opens Deposit window","#10 User can click on 'Deposit' button opens Deposit window",""
"passed","Thu Apr 14 19:01:06 EEST 2022","Thu Apr 14 19:01:17 EEST 2022","10969","","Registration > Step 3","","Registration > Step 3","#01 User is displayed the correct content and input fields for Step 3.","#01 User is displayed the correct content and input fields for Step 3.",""
"passed","Thu Apr 14 18:53:15 EEST 2022","Thu Apr 14 18:53:25 EEST 2022","10517","","Log In","","Log In","#07 Player cannot login when entering an incorrect password.","#07 Player cannot login when entering an incorrect password.",""
"failed","Thu Apr 14 19:14:45 EEST 2022","Thu Apr 14 19:16:18 EEST 2022","93402","","My Account > Gambling Controls > Account Closure > Take A Break","","My Account > Gambling Controls > Account Closure > Take A Break","#1 Player can select take a break menu item from 'Account Closure' and Take A Break contain is displayed.","#1 Player can select take a break menu item from 'Account Closure' and Take A Break contain is displayed.",""
"passed","Thu Apr 14 18:55:43 EEST 2022","Thu Apr 14 18:56:02 EEST 2022","19202","","My Account > Gambling Controls > Loss Limits","","My Account > Gambling Controls > Loss Limits","#5 User can close the Loss Limits Delete modal ","#5 User can close the Loss Limits Delete modal ",""
"passed","Thu Apr 14 18:53:58 EEST 2022","Thu Apr 14 18:54:12 EEST 2022","14159","","Inbox functionality testing","","Inbox functionality testing","#13 Unread message count is not present on Inbox navigation bar icon if no messages","#13 Unread message count is not present on Inbox navigation bar icon if no messages",""
"passed","Thu Apr 14 19:13:32 EEST 2022","Thu Apr 14 19:13:39 EEST 2022","7286","","Home page => Privacy Policy page","","Home page => Privacy Policy page","#2 User can come to the Merkur Slots page from Privacy Policy page","#2 User can come to the Merkur Slots page from Privacy Policy page",""
"failed","Thu Apr 14 18:59:57 EEST 2022","Thu Apr 14 19:00:15 EEST 2022","18035","","Promotions functionality testing. Promotions functionality for authenticated user. Blocks of promotions.","","Promotions functionality testing. Promotions functionality for authenticated user. Blocks of promotions.","#2 All active promotions cards are displayed.","#2 All active promotions cards are displayed.",""
"passed","Thu Apr 14 19:13:35 EEST 2022","Thu Apr 14 19:13:42 EEST 2022","6205","","Home => Terms & Conditions","","Home => Terms & Conditions","#3 User can come to the Gambling commission page from terms and conditions page","#3 User can come to the Gambling commission page from terms and conditions page",""
"failed","Thu Apr 14 19:13:31 EEST 2022","Thu Apr 14 19:13:38 EEST 2022","6629","","Home page => Responsible Gambling page","","Home page => Responsible Gambling page","#2 User can come to the ""Help for problem gambling"" page from Responsible Gambling page","#2 User can come to the ""Help for problem gambling"" page from Responsible Gambling page",""
"passed","Thu Apr 14 19:03:13 EEST 2022","Thu Apr 14 19:03:22 EEST 2022","9257","","UnsubscribePage","","UnsubscribePage","#3 User can click on ‘Unsubscribe’ button and successfully unsubscribe window will be displayed with the correct content","#3 User can click on ‘Unsubscribe’ button and successfully unsubscribe window will be displayed with the correct content",""
"passed","Thu Apr 14 19:17:01 EEST 2022","Thu Apr 14 19:18:10 EEST 2022","68769","","Slots page","","Slots page","#1 User can navigates to the slots page and all elements are persisted on the page","#1 User can navigates to the slots page and all elements are persisted on the page",""
"passed","Thu Apr 14 19:12:31 EEST 2022","Thu Apr 14 19:13:23 EEST 2022","52353","","Homepage","","Homepage","#1 Player can navigate to the registration page via the 'Join'.","#1 Player can navigate to the registration page via the 'Join'.",""
"passed","Thu Apr 14 18:51:40 EEST 2022","Thu Apr 14 18:52:17 EEST 2022","36044","","Log In","","Log In","#01 Player can open the Log In modal and is displayed with the correct fields.","#01 Player can open the Log In modal and is displayed with the correct fields.",""
"passed","Thu Apr 14 18:50:36 EEST 2022","Thu Apr 14 18:50:58 EEST 2022","21944","","Inbox functionality testing","","Inbox functionality testing","#3 New messages are marked with a NEW message sticker","#3 New messages are marked with a NEW message sticker",""
"passed","Thu Apr 14 18:52:46 EEST 2022","Thu Apr 14 18:53:01 EEST 2022","15516","","Logout","","Logout","#02 Player is logged out of site if clearing there cookies.","#02 Player is logged out of site if clearing there cookies.",""
"passed","Thu Apr 14 19:20:32 EEST 2022","Thu Apr 14 19:20:43 EEST 2022","11247","","My Account > Gambling Controls > Deposit Limits","","My Account > Gambling Controls > Deposit Limits","#11 Player can successfully set a weekly deposit limit if not already set.","#11 Player can successfully set a weekly deposit limit if not already set.",""
"failed","Thu Apr 14 19:16:18 EEST 2022","Thu Apr 14 19:17:29 EEST 2022","71081","","My Account > Gambling Controls > Account Closure > Take A Break","","My Account > Gambling Controls > Account Closure > Take A Break","#2 Player can close the take a break modal.","#2 Player can close the take a break modal.",""
"passed","Thu Apr 14 19:21:26 EEST 2022","Thu Apr 14 19:21:43 EEST 2022","16225","","My Profile > Communications Preferences","","My Profile > Communications Preferences","#9 Player can unselect all preferences using the select all toggle (select all toggle already active), which upon saving updates the account area accordingly","#9 Player can unselect all preferences using the select all toggle (select all toggle already active), which upon saving updates the account area accordingly",""
"passed","Thu Apr 14 19:01:12 EEST 2022","Thu Apr 14 19:01:16 EEST 2022","3393","","Registration > Step 1","","Registration > Step 1","#11 User can successfully enter email address with a combination of valid symbols, numbers and letters.","#11 User can successfully enter email address with a combination of valid symbols, numbers and letters.",""
"passed","Thu Apr 14 19:17:16 EEST 2022","Thu Apr 14 19:18:02 EEST 2022","45943","","My Account > Gambling Controls > Deposit Limits","","My Account > Gambling Controls > Deposit Limits","#3 Player can close the Deposit Limits modal.","#3 Player can close the Deposit Limits modal.",""
"passed","Thu Apr 14 18:49:55 EEST 2022","Thu Apr 14 18:49:56 EEST 2022","1447","","404 error page functionality testing.","","404 error page functionality testing.","#3 Player can click ""Logo"" button and after that it will redirect to Home page.","#3 Player can click ""Logo"" button and after that it will redirect to Home page.",""
"passed","Thu Apr 14 18:52:30 EEST 2022","Thu Apr 14 18:52:47 EEST 2022","17279","","Inbox functionality testing","","Inbox functionality testing","#8 Player with 15 or more messages, view more button is shown","#8 Player with 15 or more messages, view more button is shown",""
"passed","Thu Apr 14 19:16:11 EEST 2022","Thu Apr 14 19:17:11 EEST 2022","59761","","Homepage","","Homepage","#9 Bonus amount is updated correctly in the dropdown details when bonus balance is adjusted","#9 Bonus amount is updated correctly in the dropdown details when bonus balance is adjusted",""
"passed","Thu Apr 14 18:49:26 EEST 2022","Thu Apr 14 18:49:42 EEST 2022","16441","","User come to the 'Planned Maintenance' error page","","User come to the 'Planned Maintenance' error page","#0 User come to the ""Planned Maintenance"" error page","#0 User come to the ""Planned Maintenance"" error page",""
"passed","Thu Apr 14 19:01:35 EEST 2022","Thu Apr 14 19:01:38 EEST 2022","3734","","Registration > Step 2","","Registration > Step 2","#14 User cannot enter invalid characters into the date of birth field.","#14 User cannot enter invalid characters into the date of birth field.",""
"passed","Thu Apr 14 19:13:42 EEST 2022","Thu Apr 14 19:13:47 EEST 2022","5725","","Home => Terms & Conditions","","Home => Terms & Conditions","#4 User can come to the Responsible Gambling page from terms and conditions page","#4 User can come to the Responsible Gambling page from terms and conditions page",""
"failed","Thu Apr 14 19:18:44 EEST 2022","Thu Apr 14 19:19:24 EEST 2022","39648","","My Account > Gambling Controls > Account Closure > Take A Break","","My Account > Gambling Controls > Account Closure > Take A Break","#7 Player can choose 24 hours option for 'Take A Break' and this option should be selected.","#7 Player can choose 24 hours option for 'Take A Break' and this option should be selected.",""
"passed","Thu Apr 14 19:19:44 EEST 2022","Thu Apr 14 19:20:00 EEST 2022","15377","","My Account > Gambling Controls > Deposit Limits","","My Account > Gambling Controls > Deposit Limits","#8 Player can close the Deposit Limits Delete modal","#8 Player can close the Deposit Limits Delete modal",""
"passed","Thu Apr 14 19:02:39 EEST 2022","Thu Apr 14 19:02:48 EEST 2022","8821","","Registration > Step 3","","Registration > Step 3","#14 User can enter valid details on Step 3 and progress to Step 4 of the registration process.","#14 User can enter valid details on Step 3 and progress to Step 4 of the registration process.",""
"passed","Thu Apr 14 19:02:03 EEST 2022","Thu Apr 14 19:02:24 EEST 2022","20526","","Spin Zone functionality testing","","Spin Zone functionality testing","#1 Player can see Menu button in the top left of the screen","#1 Player can see Menu button in the top left of the screen",""
"passed","Thu Apr 14 19:13:33 EEST 2022","Thu Apr 14 19:13:50 EEST 2022","17026","","My Account -> Deposit","","My Account -> Deposit","#2 Check user is able to exit out of the deposit modal using the x button","#2 Check user is able to exit out of the deposit modal using the x button",""
"passed","Thu Apr 14 19:20:43 EEST 2022","Thu Apr 14 19:20:54 EEST 2022","11107","","My Account > Gambling Controls > Deposit Limits","","My Account > Gambling Controls > Deposit Limits","#12 Player can successfully set a monthly deposit limit if not already set.","#12 Player can successfully set a monthly deposit limit if not already set.",""
"passed","Thu Apr 14 18:58:34 EEST 2022","Thu Apr 14 18:58:51 EEST 2022","16494","","My Account > Settings > Change Password","","My Account > Settings > Change Password","#02 Current Password is a mandatory field.","#02 Current Password is a mandatory field.",""
"passed","Thu Apr 14 19:01:32 EEST 2022","Thu Apr 14 19:01:46 EEST 2022","13841","","My Account > Settings > Change Password","","My Account > Settings > Change Password","#13 Player inputs into the password fields should be masked by default.","#13 Player inputs into the password fields should be masked by default.",""
"passed","Thu Apr 14 18:49:42 EEST 2022","Thu Apr 14 18:49:44 EEST 2022","1254","","User come to the 'Planned Maintenance' error page","","User come to the 'Planned Maintenance' error page","#1 Content of ""Planned Maintenance"" error page","#1 Content of ""Planned Maintenance"" error page",""
"passed","Thu Apr 14 18:52:49 EEST 2022","Thu Apr 14 18:53:08 EEST 2022","18725","","Deep Link -> Change Password","","Deep Link -> Change Password","#2 Deep link to change password open login when not logged in before change password","#2 Deep link to change password open login when not logged in before change password",""
"failed","Thu Apr 14 19:15:49 EEST 2022","Thu Apr 14 19:16:05 EEST 2022","15801","","My Account -> Deposit","","My Account -> Deposit","#7 Check user is able to deposit with a valid card and is presented with success modal","#7 Check user is able to deposit with a valid card and is presented with success modal",""
"passed","Thu Apr 14 18:53:45 EEST 2022","Thu Apr 14 18:53:58 EEST 2022","12632","","Inbox functionality testing","","Inbox functionality testing","#12 Player with less than 15 messages should not be able to view more","#12 Player with less than 15 messages should not be able to view more",""
"passed","Thu Apr 14 19:02:35 EEST 2022","Thu Apr 14 19:02:49 EEST 2022","14035","","Promotions functionality testing. Promotions functionality for authenticated user. Particular promotions.","","Promotions functionality testing. Promotions functionality for authenticated user. Particular promotions.","#12 All main sections for card are displayed for CLAIM bonus.","#12 All main sections for card are displayed for CLAIM bonus.",""
"failed","Thu Apr 14 19:14:08 EEST 2022","Thu Apr 14 19:14:19 EEST 2022","11076","","My Profile > Contact Details","","My Profile > Contact Details","#02 Player can select to edit their telephone number and be presented with an edit modal.","#02 Player can select to edit their telephone number and be presented with an edit modal.",""
"passed","Thu Apr 14 19:21:13 EEST 2022","Thu Apr 14 19:21:26 EEST 2022","13203","","My Profile > Communications Preferences","","My Profile > Communications Preferences","#8 Player can edit their preferences and select just the Phone toggle, which upon saving updates the account area accordingly","#8 Player can edit their preferences and select just the Phone toggle, which upon saving updates the account area accordingly",""
"passed","Thu Apr 14 18:57:36 EEST 2022","Thu Apr 14 18:57:57 EEST 2022","21110","","My Account > Gambling Controls > Loss Limits","","My Account > Gambling Controls > Loss Limits","#13 User cannot set a Loss Limit lower than the minimum amount. ","#13 User cannot set a Loss Limit lower than the minimum amount. ",""
"passed","Thu Apr 14 18:50:59 EEST 2022","Thu Apr 14 18:51:01 EEST 2022","2585","","Landing Page/Shop Welcome page","","Landing Page/Shop Welcome page","#1 User come to the Shop Welcome page ","#1 User come to the Shop Welcome page ",""
"passed","Thu Apr 14 18:54:33 EEST 2022","Thu Apr 14 18:54:58 EEST 2022","24647","","My Account > Gambling Controls > Play Reminders","","My Account > Gambling Controls > Play Reminders","#1 Player can select to edit their 'Time Limit' and is displayed the Play Reminders modal.","#1 Player can select to edit their 'Time Limit' and is displayed the Play Reminders modal.",""
"passed","Thu Apr 14 18:53:04 EEST 2022","Thu Apr 14 18:53:30 EEST 2022","26154","","Inbox functionality testing","","Inbox functionality testing","#10 Deleting a message from the inbox which is marked as new should decrease the unread message count badge","#10 Deleting a message from the inbox which is marked as new should decrease the unread message count badge",""
"passed","Thu Apr 14 18:53:44 EEST 2022","Thu Apr 14 18:53:56 EEST 2022","11236","","Log In","","Log In","#15 Player can successfully Log In when entering valid details.","#15 Player can successfully Log In when entering valid details.",""
"failed","Thu Apr 14 19:18:30 EEST 2022","Thu Apr 14 19:18:38 EEST 2022","8159","","Slots page","","Slots page","#6 User can hover mouse on game card and see all needed elements","#6 User can hover mouse on game card and see all needed elements",""
"passed","Thu Apr 14 19:20:21 EEST 2022","Thu Apr 14 19:20:32 EEST 2022","11069","","My Account > Gambling Controls > Deposit Limits","","My Account > Gambling Controls > Deposit Limits","#10 Player can successfully set a daily deposit limit if not already set.","#10 Player can successfully set a daily deposit limit if not already set.",""
"passed","Thu Apr 14 19:04:33 EEST 2022","Thu Apr 14 19:04:45 EEST 2022","11860","","Promotions functionality testing. Promotions functionality for authenticated user. Particular promotions.","","Promotions functionality testing. Promotions functionality for authenticated user. Particular promotions.","#21 User can click on the terms and conditions link and the terms and conditions are displayed for deposit bonus.","#21 User can click on the terms and conditions link and the terms and conditions are displayed for deposit bonus.",""
"passed","Thu Apr 14 18:53:30 EEST 2022","Thu Apr 14 18:53:45 EEST 2022","14972","","Inbox functionality testing","","Inbox functionality testing","#11 Player can delete a message using the message options, removing it from the list","#11 Player can delete a message using the message options, removing it from the list",""
"passed","Thu Apr 14 19:18:50 EEST 2022","Thu Apr 14 19:20:09 EEST 2022","78951","","My Profile > Communications Preferences","","My Profile > Communications Preferences","#2 Player can edit their preferences and exit using the x close button within the modal discarding changes","#2 Player can edit their preferences and exit using the x close button within the modal discarding changes",""
"failed","Thu Apr 14 19:14:19 EEST 2022","Thu Apr 14 19:14:43 EEST 2022","24401","","My Profile > Contact Details","","My Profile > Contact Details","#03 Player can select to edit their telephone number and cancel out of the modal.","#03 Player can select to edit their telephone number and cancel out of the modal.",""
"failed","Thu Apr 14 19:19:46 EEST 2022","Thu Apr 14 19:19:54 EEST 2022","8602","","Slots page","","Slots page","#12 User logged in hover the game card  and click on CTA ""INFO"" and go to INFO page and click on ""PLAY NOW"" and see game page","#12 User logged in hover the game card  and click on CTA ""INFO"" and go to INFO page and click on ""PLAY NOW"" and see game page",""
"passed","Thu Apr 14 19:00:19 EEST 2022","Thu Apr 14 19:00:28 EEST 2022","8726","","Recover Password","","Recover Password","#03 Player cannot enter an invaild email address.","#03 Player cannot enter an invaild email address.",""
"passed","Thu Apr 14 19:18:28 EEST 2022","Thu Apr 14 19:19:18 EEST 2022","49951","","Homepage","","Homepage","#13 Balance details still correctly display balance of £0.00 if user has no cash balance","#13 Balance details still correctly display balance of £0.00 if user has no cash balance",""
"passed","Thu Apr 14 19:00:50 EEST 2022","Thu Apr 14 19:01:03 EEST 2022","13863","","My Account > Settings > Change Password","","My Account > Settings > Change Password","#10 New password must contain a minimum of 8 characters.","#10 New password must contain a minimum of 8 characters.",""
"failed","Thu Apr 14 19:14:03 EEST 2022","Thu Apr 14 19:14:05 EEST 2022","2781","","Homepage","","Homepage","#2 After clicking on the link from 'Introduction to Eyas Gaming', the user should see the page  https://www.eyasgaming.com/.","#2 After clicking on the link from 'Introduction to Eyas Gaming', the user should see the page  https://www.eyasgaming.com/.",""
"passed","Thu Apr 14 19:19:18 EEST 2022","Thu Apr 14 19:19:49 EEST 2022","31366","","Homepage","","Homepage","#14 Casino amount does not display when total bonus amount is zero and displays correct total balance of £0.00","#14 Casino amount does not display when total bonus amount is zero and displays correct total balance of £0.00",""
"failed","Thu Apr 14 19:09:36 EEST 2022","Thu Apr 14 19:09:57 EEST 2022","20835","","Promotions functionality testing. Promotions functionality for unauthenticated user.","","Promotions functionality testing. Promotions functionality for unauthenticated user.","#40 Login form appears after press OPT IN CTA for OPT IN bonus of unauthenticated user.","#40 Login form appears after press OPT IN CTA for OPT IN bonus of unauthenticated user.",""
"passed","Thu Apr 14 19:01:25 EEST 2022","Thu Apr 14 19:01:30 EEST 2022","4346","","Registration > Step 2","","Registration > Step 2","#12 User cannot enter an invalid date into the date of birth field.","#12 User cannot enter an invalid date into the date of birth field.",""
"passed","Thu Apr 14 19:20:47 EEST 2022","Thu Apr 14 19:21:00 EEST 2022","13112","","My Profile > Communications Preferences","","My Profile > Communications Preferences","#6 Player can edit their preferences and select just the Text toggle, which upon saving updates the account area accordingly","#6 Player can edit their preferences and select just the Text toggle, which upon saving updates the account area accordingly",""
"passed","Thu Apr 14 19:14:28 EEST 2022","Thu Apr 14 19:17:16 EEST 2022","168118","","My Account > Gambling Controls > Deposit Limits","","My Account > Gambling Controls > Deposit Limits","#2 Player is displayed 'Set Deposit Limit' text if no deposit limits are set.","#2 Player is displayed 'Set Deposit Limit' text if no deposit limits are set.",""
"failed","Thu Apr 14 19:05:47 EEST 2022","Thu Apr 14 19:06:08 EEST 2022","20607","","Promotions functionality testing. Promotions functionality for unauthenticated user.","","Promotions functionality testing. Promotions functionality for unauthenticated user.","#29 Promotions are displayed in correct order for unauthenticated user","#29 Promotions are displayed in correct order for unauthenticated user",""
"passed","Thu Apr 14 18:50:58 EEST 2022","Thu Apr 14 18:51:15 EEST 2022","16547","","Inbox functionality testing","","Inbox functionality testing","#4 Player can see their message list, with messages displaying the correct information (if messages > 1)","#4 Player can see their message list, with messages displaying the correct information (if messages > 1)",""
