"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 30 16:56:35 EEST 2022","Thu Jun 30 16:56:42 EEST 2022","6686","","Live Casino","","Live Casino","#16 Login modal can be appears after user clicks/taps on card.","#16 Login modal can be appears after user clicks/taps on card.",""
"passed","Thu Jun 30 16:54:32 EEST 2022","Thu Jun 30 16:54:36 EEST 2022","4079","","Expired Link Error","","Expired Link Error","#5 User can click on Login button and see Login page. ","#5 User can click on Login button and see Login page. ",""
"passed","Thu Jun 30 17:02:25 EEST 2022","Thu Jun 30 17:02:45 EEST 2022","19706","","My Account > Gambling Controls > Account Closure > Self Exclusion","","My Account > Gambling Controls > Account Closure > Self Exclusion","#16 Player can continue with chosen 5 years option to 'Self Exclusion' and confirming modal should display.","#16 Player can continue with chosen 5 years option to 'Self Exclusion' and confirming modal should display.",""
"passed","Thu Jun 30 17:01:13 EEST 2022","Thu Jun 30 17:01:30 EEST 2022","16884","","My Profile > Contact Details","","My Profile > Contact Details","# Player can select to edit their telephone number and close the modal to cancel out of the process.","# Player can select to edit their telephone number and close the modal to cancel out of the process.",""
"passed","Thu Jun 30 17:11:55 EEST 2022","Thu Jun 30 17:12:06 EEST 2022","10972","","Home page => Responsible Gambling page","","Home page => Responsible Gambling page","#4 User can come to the ""Block Access to Gambling Websites and Apps Worldwide"" page from Responsible Gambling page","#4 User can come to the ""Block Access to Gambling Websites and Apps Worldwide"" page from Responsible Gambling page",""
"failed","Thu Jun 30 17:13:23 EEST 2022","Thu Jun 30 17:13:50 EEST 2022","26305","","My Account -> Deposit","","My Account -> Deposit","#7 Check user is able to deposit with a valid card and is presented with success modal","#7 Check user is able to deposit with a valid card and is presented with success modal",""
"passed","Thu Jun 30 17:14:21 EEST 2022","Thu Jun 30 17:14:32 EEST 2022","10986","","My Account > Gambling Controls > Deposit Limits","","My Account > Gambling Controls > Deposit Limits","#10 Player can successfully set a daily deposit limit if not already set.","#10 Player can successfully set a daily deposit limit if not already set.",""
"failed","Thu Jun 30 17:10:42 EEST 2022","Thu Jun 30 17:10:47 EEST 2022","5112","","Promotions functionality testing. Bonus details testing.","","Promotions functionality testing. Bonus details testing.","#56 User see cash and bonus balance after clicking arrow on the right side of bonus for total bonus balance.","#56 User see cash and bonus balance after clicking arrow on the right side of bonus for total bonus balance.",""
"passed","Thu Jun 30 16:54:20 EEST 2022","Thu Jun 30 16:54:24 EEST 2022","3740","","Expired Link Error","","Expired Link Error","#2 All elements are persisted on the page. ","#2 All elements are persisted on the page. ",""
"passed","Thu Jun 30 16:57:37 EEST 2022","Thu Jun 30 16:57:53 EEST 2022","15380","","Deep Link -> Change Password","","Deep Link -> Change Password","#2 Deep link to change password open login when not logged in before change password","#2 Deep link to change password open login when not logged in before change password",""
