"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 04 11:50:57 EET 2022","Fri Feb 04 11:51:05 EET 2022","7849","","Log In","","Log In","#07 Player cannot login when entering an incorrect password.","#07 Player cannot login when entering an incorrect password.",""
"passed","Fri Feb 04 11:49:55 EET 2022","Fri Feb 04 11:49:56 EET 2022","1481","","Expired Link Error","","Expired Link Error","#6 User can click on Recover Password button and see Reset your password window ","#6 User can click on Recover Password button and see Reset your password window ",""
"passed","Fri Feb 04 11:51:10 EET 2022","Fri Feb 04 11:51:26 EET 2022","15991","","My Account > Gambling Controls > Deposit Limits","","My Account > Gambling Controls > Deposit Limits","#3 Player can close the Deposit Limits modal.","#3 Player can close the Deposit Limits modal.",""
"passed","Fri Feb 04 11:51:19 EET 2022","Fri Feb 04 11:51:26 EET 2022","6841","","Log In","","Log In","#15 Player can successfully Log In when entering valid details.","#15 Player can successfully Log In when entering valid details.",""
"passed","Fri Feb 04 11:57:31 EET 2022","Fri Feb 04 11:57:34 EET 2022","3035","","Registration > Step 1","","Registration > Step 1","#23 User cannot continue to next step if their password does not meet the minimum password requirements.","#23 User cannot continue to next step if their password does not meet the minimum password requirements.",""
"passed","Fri Feb 04 11:52:23 EET 2022","Fri Feb 04 11:52:37 EET 2022","14521","","My Account > Gambling Controls > Deposit Limits","","My Account > Gambling Controls > Deposit Limits","#8 Player can close the Deposit Limits Delete modal","#8 Player can close the Deposit Limits Delete modal",""
"passed","Fri Feb 04 11:49:49 EET 2022","Fri Feb 04 11:49:51 EET 2022","1783","","Expired Link Error","","Expired Link Error","#3 User can come to the Home page from ""Expired Link"" error page. ","#3 User can come to the Home page from ""Expired Link"" error page. ",""
"passed","Fri Feb 04 11:49:55 EET 2022","Fri Feb 04 11:50:04 EET 2022","8806","","Home page => Privacy Policy page","","Home page => Privacy Policy page","#2 User can come to the Merkur Slots page from Privacy Policy page","#2 User can come to the Merkur Slots page from Privacy Policy page",""
"passed","Fri Feb 04 12:02:35 EET 2022","Fri Feb 04 12:02:48 EET 2022","13152","","Spin Zone functionality testing","","Spin Zone functionality testing","#6 Player can see total bonus balance","#6 Player can see total bonus balance",""
"passed","Fri Feb 04 11:51:06 EET 2022","Fri Feb 04 11:51:15 EET 2022","8804","","Homepage","","Homepage","#10 User is displayed with a shortened balance in the preview section when balance exceeds 9999 (five figure balance)","#10 User is displayed with a shortened balance in the preview section when balance exceeds 9999 (five figure balance)",""
"passed","Fri Feb 04 11:50:32 EET 2022","Fri Feb 04 11:50:47 EET 2022","15203","","Logout","","Logout","#01 Player can successfully logout.","#01 Player can successfully logout.",""
"passed","Fri Feb 04 12:01:37 EET 2022","Fri Feb 04 12:01:53 EET 2022","15853","","Spin Zone functionality testing","","Spin Zone functionality testing","#3 Player can close Game menu","#3 Player can close Game menu",""
