"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 26 19:38:44 EEST 2022","Thu May 26 19:38:50 EEST 2022","6807","","Log In","","Log In","#04 Player cannot submit blank details on the Login Form.","#04 Player cannot submit blank details on the Login Form.",""
"passed","Thu May 26 19:39:11 EEST 2022","Thu May 26 19:39:17 EEST 2022","5844","","Log In","","Log In","#12 Players inputs into the password field should be masked by default.","#12 Players inputs into the password field should be masked by default.",""
"passed","Thu May 26 19:39:03 EEST 2022","Thu May 26 19:39:11 EEST 2022","7824","","Log In","","Log In","#07 Player cannot login when entering an incorrect password.","#07 Player cannot login when entering an incorrect password.",""
"passed","Thu May 26 19:39:28 EEST 2022","Thu May 26 19:39:36 EEST 2022","7855","","Log In","","Log In","#15 Player can successfully Log In when entering valid details.","#15 Player can successfully Log In when entering valid details.",""
"passed","Thu May 26 19:38:25 EEST 2022","Thu May 26 19:38:30 EEST 2022","4914","","Log In","","Log In","#01 Player can open the Log In modal and is displayed with the correct fields.","#01 Player can open the Log In modal and is displayed with the correct fields.",""
"passed","Thu May 26 19:39:17 EEST 2022","Thu May 26 19:39:22 EEST 2022","5161","","Log In","","Log In","#13 Player should be able to show/hide their input into the Password field.","#13 Player should be able to show/hide their input into the Password field.",""
"passed","Thu May 26 19:38:57 EEST 2022","Thu May 26 19:39:03 EEST 2022","6647","","Log In","","Log In","#06 Player cannot login when entering an incorrect email address.","#06 Player cannot login when entering an incorrect email address.",""
"passed","Thu May 26 19:39:22 EEST 2022","Thu May 26 19:39:28 EEST 2022","5473","","Log In","","Log In","#14 Player can select the link to recover their password.","#14 Player can select the link to recover their password.",""
"passed","Thu May 26 19:38:30 EEST 2022","Thu May 26 19:38:37 EEST 2022","6923","","Log In","","Log In","#02 Email Address is a mandatory field.","#02 Email Address is a mandatory field.",""
"passed","Thu May 26 19:38:50 EEST 2022","Thu May 26 19:38:57 EEST 2022","6315","","Log In","","Log In","#05 Player can close the login modal.","#05 Player can close the login modal.",""
"passed","Thu May 26 19:38:37 EEST 2022","Thu May 26 19:38:44 EEST 2022","6909","","Log In","","Log In","#03 Password field is a mandatory field.","#03 Password field is a mandatory field.",""
