"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 01 14:38:00 EEST 2022","Wed Jun 01 14:38:13 EEST 2022","12532","","My Account > Gambling Controls > Account Closure > Self Exclusion","","My Account > Gambling Controls > Account Closure > Self Exclusion","#8 Player can choose 12 months option for 'Self Exclusion' and this option should be selected.","#8 Player can choose 12 months option for 'Self Exclusion' and this option should be selected.",""
"passed","Wed Jun 01 14:31:27 EEST 2022","Wed Jun 01 14:31:42 EEST 2022","14767","","Spin Zone functionality testing","","Spin Zone functionality testing","#2 Player can see Resume Game button in the top left of the screen","#2 Player can see Resume Game button in the top left of the screen",""
"failed","Wed Jun 01 14:38:52 EEST 2022","Wed Jun 01 14:38:56 EEST 2022","4154","","Slots page","","Slots page","#4 User can see game carousel and can scroll it","#4 User can see game carousel and can scroll it",""
"passed","Wed Jun 01 14:28:56 EEST 2022","Wed Jun 01 14:29:09 EEST 2022","13538","","My Profile > Contact Details","","My Profile > Contact Details","#06 Player can update country code number.","#06 Player can update country code number.",""
"passed","Wed Jun 01 14:38:26 EEST 2022","Wed Jun 01 14:38:38 EEST 2022","12065","","My Account > Gambling Controls > Account Closure > Self Exclusion","","My Account > Gambling Controls > Account Closure > Self Exclusion","#10 Player can choose 2 years option for 'Self Exclusion' and this option should be selected.","#10 Player can choose 2 years option for 'Self Exclusion' and this option should be selected.",""
"failed","Wed Jun 01 14:40:13 EEST 2022","Wed Jun 01 14:40:22 EEST 2022","8622","","My Profile > Communications Preferences","","My Profile > Communications Preferences","#12 Player can uneselect just phone preferences using the phone toggle (phone already toggled on), which upon saving updates the account area accordingly","#12 Player can uneselect just phone preferences using the phone toggle (phone already toggled on), which upon saving updates the account area accordingly",""
"passed","Wed Jun 01 14:22:20 EEST 2022","Wed Jun 01 14:22:22 EEST 2022","1974","","Expired Link Error","","Expired Link Error","#2 All elements are persisted on the page. ","#2 All elements are persisted on the page. ",""
"failed","Wed Jun 01 14:40:03 EEST 2022","Wed Jun 01 14:40:12 EEST 2022","8920","","My Account > Settings > Change Password","","My Account > Settings > Change Password","#16 Player can successfully update and sign in with their new password.","#16 Player can successfully update and sign in with their new password.",""
"passed","Wed Jun 01 14:24:41 EEST 2022","Wed Jun 01 14:24:49 EEST 2022","8293","","Inbox functionality testing","","Inbox functionality testing","#12 Player with less than 15 messages should not be able to view more","#12 Player with less than 15 messages should not be able to view more",""
"passed","Wed Jun 01 14:27:30 EEST 2022","Wed Jun 01 14:27:43 EEST 2022","12563","","My Account > Gambling Controls > Play Reminders","","My Account > Gambling Controls > Play Reminders","#8 Player can successfully delete their 'Time Limit' on delete icon click.","#8 Player can successfully delete their 'Time Limit' on delete icon click.",""
"passed","Wed Jun 01 14:39:30 EEST 2022","Wed Jun 01 14:39:40 EEST 2022","10464","","Slots page","","Slots page","#12 User logged in hover the game card  and click on CTA ""INFO"" and go to INFO page and click on ""PLAY NOW"" and see game page","#12 User logged in hover the game card  and click on CTA ""INFO"" and go to INFO page and click on ""PLAY NOW"" and see game page",""
"passed","Wed Jun 01 14:29:15 EEST 2022","Wed Jun 01 14:29:21 EEST 2022","6587","","Recover Password","","Recover Password","#01 Player can navigate to the recover password form and is displayed with the correct fields.","#01 Player can navigate to the recover password form and is displayed with the correct fields.",""
"failed","Wed Jun 01 14:37:06 EEST 2022","Wed Jun 01 14:37:10 EEST 2022","4076","","Home => Terms & Conditions","","Home => Terms & Conditions","#9 User can see Introduction section on terms and conditions page","#9 User can see Introduction section on terms and conditions page",""
"passed","Wed Jun 01 14:31:42 EEST 2022","Wed Jun 01 14:31:58 EEST 2022","16140","","Spin Zone functionality testing","","Spin Zone functionality testing","#3 Player can close Game menu","#3 Player can close Game menu",""
"passed","Wed Jun 01 14:36:54 EEST 2022","Wed Jun 01 14:37:04 EEST 2022","9292","","Log In","","Log In","#02 Email Address is a mandatory field.","#02 Email Address is a mandatory field.",""
"passed","Wed Jun 01 14:29:41 EEST 2022","Wed Jun 01 14:29:47 EEST 2022","6981","","Registration > Step 1","","Registration > Step 1","#05 User can select the 'Login' button on the 'Account already exists' drawer and is displayed the Login form.","#05 User can select the 'Login' button on the 'Account already exists' drawer and is displayed the Login form.",""
"passed","Wed Jun 01 14:39:01 EEST 2022","Wed Jun 01 14:39:05 EEST 2022","4593","","Slots page","","Slots page","#7 User hover the game card and click 'Play now' and login modal appears","#7 User hover the game card and click 'Play now' and login modal appears",""
"passed","Wed Jun 01 14:29:01 EEST 2022","Wed Jun 01 14:29:12 EEST 2022","11403","","My Account > Gambling Controls > Deposit Limits","","My Account > Gambling Controls > Deposit Limits","#19 Player can open 'History' modal.","#19 Player can open 'History' modal.",""
"failed","Wed Jun 01 14:36:17 EEST 2022","Wed Jun 01 14:36:23 EEST 2022","5422","","Home => Terms & Conditions","","Home => Terms & Conditions","#0 User can come to the terms and conditions page","#0 User can come to the terms and conditions page",""
"skipped","Wed Jun 01 14:23:51 EEST 2022","Wed Jun 01 14:23:51 EEST 2022","0","","Live Casino","","Live Casino","#20 User has logged in, card is displayed, user hover a mouse on that card, the third CTA is DEMO, user clicks/taps on CTA DEMO then user go to the demo game.","#20 User has logged in, card is displayed, user hover a mouse on that card, the third CTA is DEMO, user clicks/taps on CTA DEMO then user go to the demo game.",""
