"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 02 11:05:29 EET 2022","Wed Feb 02 11:05:47 EET 2022","18068","","My Profile > Communications Preferences","","My Profile > Communications Preferences","#9 Player can unselect all preferences using the select all toggle (select all toggle already active), which upon saving updates the account area accordingly","#9 Player can unselect all preferences using the select all toggle (select all toggle already active), which upon saving updates the account area accordingly",""
"passed","Wed Feb 02 10:53:35 EET 2022","Wed Feb 02 10:53:41 EET 2022","5205","","Home page => Privacy Policy page","","Home page => Privacy Policy page","#0 User can come to the Privacy Policy page","#0 User can come to the Privacy Policy page",""
"passed","Wed Feb 02 11:04:22 EET 2022","Wed Feb 02 11:04:33 EET 2022","11616","","My Account > Settings > Change Password","","My Account > Settings > Change Password","#03 New Password is a mandatory field.","#03 New Password is a mandatory field.",""
"passed","Wed Feb 02 10:53:29 EET 2022","Wed Feb 02 10:53:36 EET 2022","6551","","404 error page functionality testing.","","404 error page functionality testing.","#2 All elements are persisted on 404 error page.","#2 All elements are persisted on 404 error page.",""
"passed","Wed Feb 02 11:00:42 EET 2022","Wed Feb 02 11:00:51 EET 2022","8884","","Registration > Step 4","","Registration > Step 4","#01 User is displayed the correct content and defaut options for Step 4.","#01 User is displayed the correct content and defaut options for Step 4.",""
"passed","Wed Feb 02 10:53:20 EET 2022","Wed Feb 02 10:53:24 EET 2022","3851","","Service unavailable","","Service unavailable","#0 User come to the Error 500 page, when service is unavailable","#0 User come to the Error 500 page, when service is unavailable",""
"passed","Wed Feb 02 10:59:38 EET 2022","Wed Feb 02 10:59:44 EET 2022","5665","","Recover Password","","Recover Password","#02 Player cannot submit a blank email address on the recover password form.","#02 Player cannot submit a blank email address on the recover password form.",""
"failed","Wed Feb 02 11:07:01 EET 2022","Wed Feb 02 11:07:22 EET 2022","21451","","My Account > Gambling Controls > Account Closure > Self Exclusion","","My Account > Gambling Controls > Account Closure > Self Exclusion","#18 Player can close the self exclusion modal.","#18 Player can close the self exclusion modal.",""
"passed","Wed Feb 02 10:59:00 EET 2022","Wed Feb 02 10:59:23 EET 2022","23081","","My Account > Gambling Controls > Loss Limits","","My Account > Gambling Controls > Loss Limits","#14 User cannot set a Loss Limit higher than the maximum amount. ","#14 User cannot set a Loss Limit higher than the maximum amount. ",""
"passed","Wed Feb 02 11:02:02 EET 2022","Wed Feb 02 11:02:09 EET 2022","6670","","Registration > Step 3","","Registration > Step 3","#15 Phone Number is a mandatory field.","#15 Phone Number is a mandatory field.",""
