"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Mar 28 20:14:14 EEST 2022","Mon Mar 28 20:14:43 EEST 2022","28511","","My Account -> Deposit","","My Account -> Deposit","#5 Check user is able to select Phone payment method and is provided with the correct information for this payment method","#5 Check user is able to select Phone payment method and is provided with the correct information for this payment method",""
"failed","Mon Mar 28 20:14:35 EEST 2022","Mon Mar 28 20:14:44 EEST 2022","8227","","Home => Terms & Conditions","","Home => Terms & Conditions","#11 User can see the Definitions section on terms and conditions page","#11 User can see the Definitions section on terms and conditions page",""
"passed","Mon Mar 28 19:56:43 EEST 2022","Mon Mar 28 19:56:49 EEST 2022","6442","","Log In","","Log In","#04 Player cannot submit blank details on the Login Form.","#04 Player cannot submit blank details on the Login Form.",""
"passed","Mon Mar 28 20:16:00 EEST 2022","Mon Mar 28 20:16:17 EEST 2022","16083","","My Account > Gambling Controls > Deposit Limits","","My Account > Gambling Controls > Deposit Limits","#2 Player is displayed 'Set Deposit Limit' text if no deposit limits are set.","#2 Player is displayed 'Set Deposit Limit' text if no deposit limits are set.",""
"passed","Mon Mar 28 20:13:27 EEST 2022","Mon Mar 28 20:13:36 EEST 2022","9449","","Home => Terms & Conditions","","Home => Terms & Conditions","#4 User can come to the Responsible Gambling page from terms and conditions page","#4 User can come to the Responsible Gambling page from terms and conditions page",""
"failed","Mon Mar 28 20:15:18 EEST 2022","Mon Mar 28 20:15:35 EEST 2022","17061","","My Account -> Deposit","","My Account -> Deposit","#8 Check user is displayed with a declined modal when safecharge returns a declined response","#8 Check user is displayed with a declined modal when safecharge returns a declined response",""
"passed","Mon Mar 28 19:56:36 EEST 2022","Mon Mar 28 19:56:43 EEST 2022","7045","","Log In","","Log In","#03 Password field is a mandatory field.","#03 Password field is a mandatory field.",""
"failed","Mon Mar 28 20:15:06 EEST 2022","Mon Mar 28 20:15:14 EEST 2022","7699","","Home => Terms & Conditions","","Home => Terms & Conditions","#15 User can see the Deposits and Withdrawals section on terms and conditions page","#15 User can see the Deposits and Withdrawals section on terms and conditions page",""
"passed","Mon Mar 28 20:08:14 EEST 2022","Mon Mar 28 20:08:29 EEST 2022","15200","","My Account > Settings > Change Password","","My Account > Settings > Change Password","#13 Player inputs into the password fields should be masked by default.","#13 Player inputs into the password fields should be masked by default.",""
"passed","Mon Mar 28 20:06:01 EEST 2022","Mon Mar 28 20:06:16 EEST 2022","14836","","Recover Password","","Recover Password","#06 Recover Password button displays 'Re-Send Email' text after a successful first attempt.","#06 Recover Password button displays 'Re-Send Email' text after a successful first attempt.",""
