"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 04 14:46:03 EET 2022","Fri Feb 04 14:46:12 EET 2022","8811","","Registration > Step 1","","Registration > Step 1","#01 User is displayed the correct content and input fields for Step 1.","#01 User is displayed the correct content and input fields for Step 1.",""
"passed","Fri Feb 04 14:47:03 EET 2022","Fri Feb 04 14:47:05 EET 2022","2603","","Registration > Step 1","","Registration > Step 1","#23 User cannot continue to next step if their password does not meet the minimum password requirements.","#23 User cannot continue to next step if their password does not meet the minimum password requirements.",""
"passed","Fri Feb 04 14:46:57 EET 2022","Fri Feb 04 14:47:06 EET 2022","8461","","Registration > Step 3","","Registration > Step 3","#03 Address Line 1 field is a mandatory field.","#03 Address Line 1 field is a mandatory field.",""
"failed","Fri Feb 04 14:37:28 EET 2022","Fri Feb 04 14:38:32 EET 2022","64520","","Footer functionality testing","","Footer functionality testing","#4 Player can see safer gambling logos","#4 Player can see safer gambling logos",""
"passed","Fri Feb 04 14:46:40 EET 2022","Fri Feb 04 14:46:45 EET 2022","4793","","Registration > Step 2","","Registration > Step 2","#05 Date of Birth is a mandatory field.","#05 Date of Birth is a mandatory field.",""
"passed","Fri Feb 04 14:47:14 EET 2022","Fri Feb 04 14:47:18 EET 2022","4105","","Registration > Step 2","","Registration > Step 2","#14 User cannot enter invalid characters into the date of birth field.","#14 User cannot enter invalid characters into the date of birth field.",""
"passed","Fri Feb 04 14:38:55 EET 2022","Fri Feb 04 14:38:59 EET 2022","4513","","Log In","","Log In","#02 Email Address is a mandatory field.","#02 Email Address is a mandatory field.",""
"passed","Fri Feb 04 14:48:35 EET 2022","Fri Feb 04 14:48:41 EET 2022","5727","","Registration > Step 3","","Registration > Step 3","#19 User can select a Country Code from the dropdown menu.","#19 User can select a Country Code from the dropdown menu.",""
"passed","Fri Feb 04 14:47:12 EET 2022","Fri Feb 04 14:47:31 EET 2022","18572","","My Profile > Communications Preferences","","My Profile > Communications Preferences","#9 Player can unselect all preferences using the select all toggle (select all toggle already active), which upon saving updates the account area accordingly","#9 Player can unselect all preferences using the select all toggle (select all toggle already active), which upon saving updates the account area accordingly",""
"passed","Fri Feb 04 14:39:37 EET 2022","Fri Feb 04 14:39:44 EET 2022","6115","","Log In","","Log In","#13 Player should be able to show/hide their input into the Password field.","#13 Player should be able to show/hide their input into the Password field.",""
"passed","Fri Feb 04 14:43:43 EET 2022","Fri Feb 04 14:44:01 EET 2022","17911","","My Account > Gambling Controls > Account Closure > Self Exclusion","","My Account > Gambling Controls > Account Closure > Self Exclusion","#17 Player can press 'BACK' for confirmating modal after chosen for 6 months 'Self Exclusion' and should return to previous step.","#17 Player can press 'BACK' for confirmating modal after chosen for 6 months 'Self Exclusion' and should return to previous step.",""
"passed","Fri Feb 04 14:43:25 EET 2022","Fri Feb 04 14:43:48 EET 2022","23635","","My Account > Gambling Controls > Loss Limits","","My Account > Gambling Controls > Loss Limits","#10 User can successfully set a monthly loss limit if not already set ","#10 User can successfully set a monthly loss limit if not already set ",""
"passed","Fri Feb 04 14:50:58 EET 2022","Fri Feb 04 14:51:16 EET 2022","18639","","My Account -> Deposit","","My Account -> Deposit","#2 Check user is able to exit out of the deposit modal using the x button","#2 Check user is able to exit out of the deposit modal using the x button",""
"passed","Fri Feb 04 14:38:53 EET 2022","Fri Feb 04 14:39:06 EET 2022","13756","","Homepage","","Homepage","#9 Bonus amount is updated correctly in the dropdown details when bonus balance is adjusted","#9 Bonus amount is updated correctly in the dropdown details when bonus balance is adjusted",""
"passed","Fri Feb 04 14:50:46 EET 2022","Fri Feb 04 14:50:49 EET 2022","2955","","Expired Link Error","","Expired Link Error","#7 User can click on x button and close reset password window. ","#7 User can click on x button and close reset password window. ",""
"passed","Fri Feb 04 14:38:46 EET 2022","Fri Feb 04 14:39:09 EET 2022","23119","","Logout","","Logout","#01 Player can successfully logout.","#01 Player can successfully logout.",""
"passed","Fri Feb 04 14:45:45 EET 2022","Fri Feb 04 14:46:01 EET 2022","15690","","My Profile > Communications Preferences","","My Profile > Communications Preferences","#4 Player can edit their preferences and toggle all preferences with the select all toggle, which upon saving updates the account area","#4 Player can edit their preferences and toggle all preferences with the select all toggle, which upon saving updates the account area",""
"passed","Fri Feb 04 14:41:08 EET 2022","Fri Feb 04 14:41:31 EET 2022","22305","","Inbox functionality testing","","Inbox functionality testing","#14 Unread message count is not present on Inbox navigation bar icon if player has no unread messages","#14 Unread message count is not present on Inbox navigation bar icon if player has no unread messages",""
"passed","Fri Feb 04 14:50:39 EET 2022","Fri Feb 04 14:50:41 EET 2022","1528","","404 error page functionality testing.","","404 error page functionality testing.","#3 Player can click ""Logo"" button and after that it will redirect to Home page.","#3 Player can click ""Logo"" button and after that it will redirect to Home page.",""
"passed","Fri Feb 04 14:52:42 EET 2022","Fri Feb 04 14:52:55 EET 2022","13675","","Spin Zone functionality testing","","Spin Zone functionality testing","#9 Player can see Exit Game button in bottom right","#9 Player can see Exit Game button in bottom right",""
"passed","Fri Feb 04 14:37:23 EET 2022","Fri Feb 04 14:37:28 EET 2022","5206","","Footer functionality testing","","Footer functionality testing","#3 Player can see partners logos","#3 Player can see partners logos",""
"passed","Fri Feb 04 14:41:54 EET 2022","Fri Feb 04 14:42:07 EET 2022","12442","","My Account > Gambling Controls > Account Closure > Take A Break","","My Account > Gambling Controls > Account Closure > Take A Break","#8 Player can choose 1 week option for 'Take A Break' and this option should be selected.","#8 Player can choose 1 week option for 'Take A Break' and this option should be selected.",""
"passed","Fri Feb 04 14:46:35 EET 2022","Fri Feb 04 14:46:50 EET 2022","14504","","Registration > Step 3","","Registration > Step 3","#02 User can navigate back to the previous step.","#02 User can navigate back to the previous step.",""
"passed","Fri Feb 04 14:47:04 EET 2022","Fri Feb 04 14:47:20 EET 2022","15870","","Registration > Step 4","","Registration > Step 4","#01 User is displayed the correct content and defaut options for Step 4.","#01 User is displayed the correct content and defaut options for Step 4.",""
"passed","Fri Feb 04 14:39:02 EET 2022","Fri Feb 04 14:39:17 EET 2022","15697","","Inbox functionality testing","","Inbox functionality testing","#7 Player can mark a message as read using the message options, removing the new badge from a message and decreasing the unread message count badge","#7 Player can mark a message as read using the message options, removing the new badge from a message and decreasing the unread message count badge",""
"passed","Fri Feb 04 14:45:54 EET 2022","Fri Feb 04 14:46:19 EET 2022","24036","","My Account > Gambling Controls > Loss Limits","","My Account > Gambling Controls > Loss Limits","#16 User can only enter numeric digits into the set Loss Limit field. ","#16 User can only enter numeric digits into the set Loss Limit field. ",""
"passed","Fri Feb 04 14:40:13 EET 2022","Fri Feb 04 14:40:27 EET 2022","14022","","My Account > Gambling Controls > Deposit Limits","","My Account > Gambling Controls > Deposit Limits","#5 Player can open the Deposit Limits Edit modal on edit icon click.","#5 Player can open the Deposit Limits Edit modal on edit icon click.",""
"passed","Fri Feb 04 14:43:01 EET 2022","Fri Feb 04 14:43:14 EET 2022","13605","","My Account > Gambling Controls > Account Closure > Self Exclusion","","My Account > Gambling Controls > Account Closure > Self Exclusion","#14 Player can continue with chosen 18 months option to 'Self Exclusion' and confirming modal should display.","#14 Player can continue with chosen 18 months option to 'Self Exclusion' and confirming modal should display.",""
"passed","Fri Feb 04 14:50:43 EET 2022","Fri Feb 04 14:50:44 EET 2022","1567","","Expired Link Error","","Expired Link Error","#5 User can click on Login button and see Login page. ","#5 User can click on Login button and see Login page. ",""
"passed","Fri Feb 04 14:47:24 EET 2022","Fri Feb 04 14:47:36 EET 2022","12386","","My Account > Settings > Change Password","","My Account > Settings > Change Password","#09 New password must contain a combination of upper and lower case letters (all lower case).","#09 New password must contain a combination of upper and lower case letters (all lower case).",""
"passed","Fri Feb 04 14:48:39 EET 2022","Fri Feb 04 14:48:46 EET 2022","6980","","Registration > Step 4","","Registration > Step 4","#03 User can opt in to receive All marketing preferences.","#03 User can opt in to receive All marketing preferences.",""
