"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 24 16:49:02 EET 2022","Mon Jan 24 16:49:19 EET 2022","16738","","Logout","","Logout","#01 Player can successfully logout.","#01 Player can successfully logout.",""
"passed","Mon Jan 24 16:59:51 EET 2022","Mon Jan 24 16:59:58 EET 2022","6990","","Registration > Step 3","","Registration > Step 3","#15 Phone Number is a mandatory field.","#15 Phone Number is a mandatory field.",""
"passed","Mon Jan 24 17:00:05 EET 2022","Mon Jan 24 17:00:17 EET 2022","12441","","Registration > Step 3","","Registration > Step 3","#17 User cannot enter spaces into Phone Number field.","#17 User cannot enter spaces into Phone Number field.",""
"passed","Mon Jan 24 16:51:23 EET 2022","Mon Jan 24 16:51:33 EET 2022","10607","","Homepage","","Homepage","Casino amount does not display when total bonus amount is zero and displays correct total balance of £0.00","Casino amount does not display when total bonus amount is zero and displays correct total balance of £0.00",""
"passed","Mon Jan 24 16:55:10 EET 2022","Mon Jan 24 16:55:24 EET 2022","13580","","My Profile > Communications Preferences","","My Profile > Communications Preferences","#3 Player can edit their preferences and exit using the Cancel CTA within the modal discarding changes","#3 Player can edit their preferences and exit using the Cancel CTA within the modal discarding changes",""
"passed","Mon Jan 24 16:54:53 EET 2022","Mon Jan 24 16:55:09 EET 2022","15774","","My Account > Gambling Controls > Account Closure > Take A Break","","My Account > Gambling Controls > Account Closure > Take A Break","#16 Player can press 'BACK' for confirmating modal after chosen for 24 hours 'Take A Break' and should return to previous step.","#16 Player can press 'BACK' for confirmating modal after chosen for 24 hours 'Take A Break' and should return to previous step.",""
"passed","Mon Jan 24 16:56:51 EET 2022","Mon Jan 24 16:57:08 EET 2022","16557","","My Profile > Communications Preferences","","My Profile > Communications Preferences","#10 Player can unselect just email preferences using the email toggle (email already toggled on), which upon saving updates the account area accordingly","#10 Player can unselect just email preferences using the email toggle (email already toggled on), which upon saving updates the account area accordingly",""
"passed","Mon Jan 24 16:59:36 EET 2022","Mon Jan 24 16:59:38 EET 2022","2254","","Registration > Step 1","","Registration > Step 1","#23 User cannot continue to next step if their password does not meet the minimum password requirements.","#23 User cannot continue to next step if their password does not meet the minimum password requirements.",""
"passed","Mon Jan 24 16:49:12 EET 2022","Mon Jan 24 16:49:19 EET 2022","7191","","Log In","","Log In","#02 Email Address is a mandatory field.","#02 Email Address is a mandatory field.",""
"passed","Mon Jan 24 16:58:08 EET 2022","Mon Jan 24 16:58:26 EET 2022","18265","","Spin Zone functionality testing","","Spin Zone functionality testing","#6 Player can see total bonus balance","#6 Player can see total bonus balance",""
"passed","Mon Jan 24 16:49:14 EET 2022","Mon Jan 24 16:49:34 EET 2022","20306","","My Account > Gambling Controls > Loss Limits","","My Account > Gambling Controls > Loss Limits","#2 User can open the Loss Limits Edit modal on edit icon click ","#2 User can open the Loss Limits Edit modal on edit icon click ",""
"passed","Mon Jan 24 16:52:23 EET 2022","Mon Jan 24 16:52:37 EET 2022","14338","","My Profile > Contact Details","","My Profile > Contact Details","#01 Player can view their contact details.","#01 Player can view their contact details.",""
"passed","Mon Jan 24 16:49:49 EET 2022","Mon Jan 24 16:49:59 EET 2022","9764","","Inbox functionality testing","","Inbox functionality testing","#4 Player can see their message list, with messages displaying the correct information (if messages > 1)","#4 Player can see their message list, with messages displaying the correct information (if messages > 1)",""
"passed","Mon Jan 24 16:51:21 EET 2022","Mon Jan 24 16:51:36 EET 2022","14324","","My Account > Gambling Controls > Account Closure > Self Exclusion","","My Account > Gambling Controls > Account Closure > Self Exclusion","#5 Player cannot continue with 'Self Exclusion' if a duration is not selected.","#5 Player cannot continue with 'Self Exclusion' if a duration is not selected.",""
"passed","Mon Jan 24 16:53:50 EET 2022","Mon Jan 24 16:54:05 EET 2022","15096","","My Profile > Contact Details","","My Profile > Contact Details","#06 Player can update country code number.","#06 Player can update country code number.",""
"passed","Mon Jan 24 16:52:51 EET 2022","Mon Jan 24 16:53:07 EET 2022","15739","","My Profile > Contact Details","","My Profile > Contact Details","#03 Player can select to edit their telephone number and cancel out of the modal.","#03 Player can select to edit their telephone number and cancel out of the modal.",""
"passed","Mon Jan 24 16:58:39 EET 2022","Mon Jan 24 16:58:58 EET 2022","18035","","Registration > Step 4","","Registration > Step 4","#02 User can navigate back to the previous step.","#02 User can navigate back to the previous step.",""
"passed","Mon Jan 24 16:49:53 EET 2022","Mon Jan 24 16:50:04 EET 2022","11335","","Homepage","","Homepage","The details balance card is dismissed when the user clicks and drags the footer","The details balance card is dismissed when the user clicks and drags the footer",""
"passed","Mon Jan 24 16:58:54 EET 2022","Mon Jan 24 16:58:58 EET 2022","4332","","Registration > Step 2","","Registration > Step 2","#14 User cannot enter invalid characters into the date of birth field.","#14 User cannot enter invalid characters into the date of birth field.",""
"passed","Mon Jan 24 16:53:55 EET 2022","Mon Jan 24 16:54:10 EET 2022","14695","","My Account > Gambling Controls > Account Closure > Take A Break","","My Account > Gambling Controls > Account Closure > Take A Break","#12 Player can continue with chosen 1 week option to 'Take A Break' and confirming modal should display.","#12 Player can continue with chosen 1 week option to 'Take A Break' and confirming modal should display.",""
"passed","Mon Jan 24 16:51:57 EET 2022","Mon Jan 24 16:52:13 EET 2022","16108","","My Account > Gambling Controls > Deposit Limits","","My Account > Gambling Controls > Deposit Limits","#12 Player can successfully set a monthly deposit limit if not already set.","#12 Player can successfully set a monthly deposit limit if not already set.",""
"passed","Mon Jan 24 16:57:57 EET 2022","Mon Jan 24 16:58:13 EET 2022","15583","","My Account > Settings > Change Password","","My Account > Settings > Change Password","#13 Player inputs into the password fields should be masked by default.","#13 Player inputs into the password fields should be masked by default.",""
"passed","Mon Jan 24 16:49:53 EET 2022","Mon Jan 24 16:50:11 EET 2022","18015","","My Account > Gambling Controls > Deposit Limits","","My Account > Gambling Controls > Deposit Limits","#4 Player can cancel out of the Deposit Limits modal.","#4 Player can cancel out of the Deposit Limits modal.",""
"passed","Mon Jan 24 16:50:53 EET 2022","Mon Jan 24 16:51:04 EET 2022","11074","","Homepage","","Homepage","User is displayed with the correct cash balance format in the dropdown card when balance exceeds 9999 (five figure balance)","User is displayed with the correct cash balance format in the dropdown card when balance exceeds 9999 (five figure balance)",""
"passed","Mon Jan 24 16:50:11 EET 2022","Mon Jan 24 16:50:26 EET 2022","14451","","My Account > Gambling Controls > Deposit Limits","","My Account > Gambling Controls > Deposit Limits","#5 Player can open the Deposit Limits Edit modal on edit icon click.","#5 Player can open the Deposit Limits Edit modal on edit icon click.",""
"passed","Mon Jan 24 16:49:39 EET 2022","Mon Jan 24 16:49:49 EET 2022","9912","","Inbox functionality testing","","Inbox functionality testing","#3 New messages are marked with a NEW message sticker","#3 New messages are marked with a NEW message sticker",""
"passed","Mon Jan 24 16:52:45 EET 2022","Mon Jan 24 16:53:01 EET 2022","15350","","My Account > Gambling Controls > Account Closure > Take A Break","","My Account > Gambling Controls > Account Closure > Take A Break","#7 Player can choose 24 hours option for 'Take A Break' and this option should be selected.","#7 Player can choose 24 hours option for 'Take A Break' and this option should be selected.",""
"passed","Mon Jan 24 16:49:38 EET 2022","Mon Jan 24 16:49:53 EET 2022","15298","","My Account > Gambling Controls > Deposit Limits","","My Account > Gambling Controls > Deposit Limits","#3 Player can close the Deposit Limits modal.","#3 Player can close the Deposit Limits modal.",""
"passed","Mon Jan 24 16:49:27 EET 2022","Mon Jan 24 16:49:39 EET 2022","12448","","Inbox functionality testing","","Inbox functionality testing","#2 Unread message count increases when player receives a new message (requires page refresh)","#2 Unread message count increases when player receives a new message (requires page refresh)",""
"passed","Mon Jan 24 16:51:54 EET 2022","Mon Jan 24 16:52:05 EET 2022","10679","","Inbox functionality testing","","Inbox functionality testing","#14 Unread message count is not present on Inbox navigation bar icon if player has no unread messages","#14 Unread message count is not present on Inbox navigation bar icon if player has no unread messages",""
"passed","Mon Jan 24 16:54:10 EET 2022","Mon Jan 24 16:54:24 EET 2022","14413","","My Account > Gambling Controls > Account Closure > Take A Break","","My Account > Gambling Controls > Account Closure > Take A Break","#13 Player can continue with chosen 3 weeks option to 'Take A Break' and confirming modal should display.","#13 Player can continue with chosen 3 weeks option to 'Take A Break' and confirming modal should display.",""
"passed","Mon Jan 24 16:59:06 EET 2022","Mon Jan 24 16:59:14 EET 2022","7789","","Registration > Step 4","","Registration > Step 4","#07 User can opt in to receive Phone marketing preferences.","#07 User can opt in to receive Phone marketing preferences.",""
"passed","Mon Jan 24 16:52:31 EET 2022","Mon Jan 24 16:52:45 EET 2022","14002","","My Account > Gambling Controls > Account Closure > Take A Break","","My Account > Gambling Controls > Account Closure > Take A Break","#5 Player cannot continue with 'Take A Break' if a duration is not selected.","#5 Player cannot continue with 'Take A Break' if a duration is not selected.",""
"passed","Mon Jan 24 16:58:26 EET 2022","Mon Jan 24 16:58:41 EET 2022","15321","","Spin Zone functionality testing","","Spin Zone functionality testing","#7 Player can see recently played games","#7 Player can see recently played games",""
"passed","Mon Jan 24 16:49:04 EET 2022","Mon Jan 24 16:49:12 EET 2022","8466","","Log In","","Log In","#01 Player can open the Log In modal and is displayed with the correct fields.","#01 Player can open the Log In modal and is displayed with the correct fields.",""
"passed","Mon Jan 24 16:53:30 EET 2022","Mon Jan 24 16:53:45 EET 2022","14463","","My Account > Gambling Controls > Account Closure > Self Exclusion","","My Account > Gambling Controls > Account Closure > Self Exclusion","#15 Player can continue with chosen 2 years option to 'Self Exclusion' and confirming modal should display.","#15 Player can continue with chosen 2 years option to 'Self Exclusion' and confirming modal should display.",""
"passed","Mon Jan 24 16:55:00 EET 2022","Mon Jan 24 16:55:15 EET 2022","15069","","My Account > Settings > Change Password","","My Account > Settings > Change Password","#01 Player can cancel out of the Change Password modal.","#01 Player can cancel out of the Change Password modal.",""
"passed","Mon Jan 24 16:51:06 EET 2022","Mon Jan 24 16:51:21 EET 2022","15417","","My Account > Gambling Controls > Account Closure > Self Exclusion","","My Account > Gambling Controls > Account Closure > Self Exclusion","#3 Player can press 'Back' button of the 'Self Exlusion' modal.","#3 Player can press 'Back' button of the 'Self Exlusion' modal.",""
"passed","Mon Jan 24 16:59:14 EET 2022","Mon Jan 24 16:59:22 EET 2022","8420","","Registration > Step 4","","Registration > Step 4","#08 User can overwrite Select All option and de-select a preference.","#08 User can overwrite Select All option and de-select a preference.",""
"passed","Mon Jan 24 16:52:05 EET 2022","Mon Jan 24 16:52:15 EET 2022","9956","","Inbox functionality testing","","Inbox functionality testing","#15 Player is presented with an Empty Inbox image if the Inbox is empty (rather than a heading & message list)","#15 Player is presented with an Empty Inbox image if the Inbox is empty (rather than a heading & message list)",""
"passed","Mon Jan 24 16:52:04 EET 2022","Mon Jan 24 16:52:19 EET 2022","14811","","My Account > Gambling Controls > Account Closure > Self Exclusion","","My Account > Gambling Controls > Account Closure > Self Exclusion","#9 Player can choose 18 months option for 'Self Exclusion' and this option should be selected.","#9 Player can choose 18 months option for 'Self Exclusion' and this option should be selected.",""
"passed","Mon Jan 24 16:58:38 EET 2022","Mon Jan 24 16:58:44 EET 2022","5560","","Registration > Step 1","","Registration > Step 1","#01 User is displayed the correct content and input fields for Step 1.","#01 User is displayed the correct content and input fields for Step 1.",""
"passed","Mon Jan 24 16:53:01 EET 2022","Mon Jan 24 16:53:15 EET 2022","14698","","My Account > Gambling Controls > Account Closure > Take A Break","","My Account > Gambling Controls > Account Closure > Take A Break","#8 Player can choose 1 week option for 'Take A Break' and this option should be selected.","#8 Player can choose 1 week option for 'Take A Break' and this option should be selected.",""
"passed","Mon Jan 24 16:50:45 EET 2022","Mon Jan 24 16:51:03 EET 2022","18454","","My Account > Gambling Controls > Play Reminders","","My Account > Gambling Controls > Play Reminders","#4 Player cannot continue with 'Time Limit' if a limit is not selected.","#4 Player cannot continue with 'Time Limit' if a limit is not selected.",""
"passed","Mon Jan 24 16:55:24 EET 2022","Mon Jan 24 16:55:38 EET 2022","14017","","My Profile > Communications Preferences","","My Profile > Communications Preferences","#4 Player can edit their preferences and toggle all preferences with the select all toggle, which upon saving updates the account area","#4 Player can edit their preferences and toggle all preferences with the select all toggle, which upon saving updates the account area",""
"passed","Mon Jan 24 16:53:43 EET 2022","Mon Jan 24 16:53:58 EET 2022","14651","","My Account > Gambling Controls > Deposit Limits","","My Account > Gambling Controls > Deposit Limits","#18 Player can submit a blank value in the Deposit Limits.","#18 Player can submit a blank value in the Deposit Limits.",""
"skipped","Mon Jan 24 16:51:21 EET 2022","Mon Jan 24 16:51:21 EET 2022","6","","My Account > Gambling Controls > Account Closure > Self Exclusion","","My Account > Gambling Controls > Account Closure > Self Exclusion","#4 Player cannot continue with 'Self Exclusion' if a reason is not selected.","#4 Player cannot continue with 'Self Exclusion' if a reason is not selected.",""
"passed","Mon Jan 24 16:52:21 EET 2022","Mon Jan 24 16:52:41 EET 2022","19628","","My Account -> Deposit","","My Account -> Deposit","Check user is able to access the deposit modal via the account menu and is displayed with the option to fill in card details by default","Check user is able to access the deposit modal via the account menu and is displayed with the option to fill in card details by default",""
"passed","Mon Jan 24 16:59:01 EET 2022","Mon Jan 24 16:59:15 EET 2022","14553","","Spin Zone functionality testing","","Spin Zone functionality testing","#9 Player can see Exit Game button in bottom right","#9 Player can see Exit Game button in bottom right",""
"passed","Mon Jan 24 16:49:00 EET 2022","Mon Jan 24 16:49:06 EET 2022","5789","","Homepage","","Homepage","Player can navigate to the registration page via the 'Join'.","Player can navigate to the registration page via the 'Join'.",""
"passed","Mon Jan 24 16:57:42 EET 2022","Mon Jan 24 16:57:57 EET 2022","15183","","My Account > Settings > Change Password","","My Account > Settings > Change Password","#12 Player cannot continue to next step if their new password does not meet the minimum password requirements.","#12 Player cannot continue to next step if their new password does not meet the minimum password requirements.",""
"passed","Mon Jan 24 16:50:26 EET 2022","Mon Jan 24 16:50:42 EET 2022","15859","","My Account > Gambling Controls > Deposit Limits","","My Account > Gambling Controls > Deposit Limits","#6 Player can close the Deposit Limits Edit modal","#6 Player can close the Deposit Limits Edit modal",""
"passed","Mon Jan 24 16:53:28 EET 2022","Mon Jan 24 16:53:42 EET 2022","13106","","My Account > Gambling Controls > Account Closure > Take A Break","","My Account > Gambling Controls > Account Closure > Take A Break","#10 Player can choose 6 weeks option for 'Take A Break' and this option should be selected.","#10 Player can choose 6 weeks option for 'Take A Break' and this option should be selected.",""
"passed","Mon Jan 24 16:53:48 EET 2022","Mon Jan 24 16:54:04 EET 2022","15441","","My Account -> Deposit","","My Account -> Deposit","Check user is able to deposit with a valid card and is presented with success modal","Check user is able to deposit with a valid card and is presented with success modal",""
"passed","Mon Jan 24 16:52:41 EET 2022","Mon Jan 24 16:53:04 EET 2022","23324","","My Account > Gambling Controls > Loss Limits","","My Account > Gambling Controls > Loss Limits","#11 User can successfully set their Loss Limit to the minimum allowed value and will receive a success toast on submitting the new amount. ","#11 User can successfully set their Loss Limit to the minimum allowed value and will receive a success toast on submitting the new amount. ",""
"passed","Mon Jan 24 16:53:42 EET 2022","Mon Jan 24 16:53:55 EET 2022","13653","","My Account > Gambling Controls > Account Closure > Take A Break","","My Account > Gambling Controls > Account Closure > Take A Break","#11 Player can continue with chosen 24 hours option to 'Take A Break' and confirming modal should display.","#11 Player can continue with chosen 24 hours option to 'Take A Break' and confirming modal should display.",""
"passed","Mon Jan 24 16:54:14 EET 2022","Mon Jan 24 16:54:37 EET 2022","23575","","My Account > Gambling Controls > Loss Limits","","My Account > Gambling Controls > Loss Limits","#15 User can submit a blank value in the Loss Limit. ","#15 User can submit a blank value in the Loss Limit. ",""
"passed","Mon Jan 24 16:54:56 EET 2022","Mon Jan 24 16:55:10 EET 2022","13831","","My Account > Gambling Controls > Deposit Limits","","My Account > Gambling Controls > Deposit Limits","#23 Player can close 'How deposit limits work' modal.","#23 Player can close 'How deposit limits work' modal.",""
"passed","Mon Jan 24 16:54:15 EET 2022","Mon Jan 24 16:54:32 EET 2022","16634","","My Profile > Personal Details","","My Profile > Personal Details","#01 Player can view their personal details.","#01 Player can view their personal details.",""
"passed","Mon Jan 24 16:55:44 EET 2022","Mon Jan 24 16:55:58 EET 2022","14314","","My Account > Settings > Change Password","","My Account > Settings > Change Password","#04 Player cannot submit the Change Password form with blank details.","#04 Player cannot submit the Change Password form with blank details.",""
"passed","Mon Jan 24 16:51:21 EET 2022","Mon Jan 24 16:51:40 EET 2022","19017","","My Account > Gambling Controls > Play Reminders","","My Account > Gambling Controls > Play Reminders","#6 Player can successfully set a 'Time Limit'.","#6 Player can successfully set a 'Time Limit'.",""
"passed","Mon Jan 24 16:53:50 EET 2022","Mon Jan 24 16:54:14 EET 2022","23110","","My Account > Gambling Controls > Loss Limits","","My Account > Gambling Controls > Loss Limits","#14 User cannot set a Loss Limit higher than the maximum amount. ","#14 User cannot set a Loss Limit higher than the maximum amount. ",""
"passed","Mon Jan 24 16:53:45 EET 2022","Mon Jan 24 16:53:59 EET 2022","14254","","My Account > Gambling Controls > Account Closure > Self Exclusion","","My Account > Gambling Controls > Account Closure > Self Exclusion","#16 Player can continue with chosen 5 years option to 'Self Exclusion' and confirming modal should display.","#16 Player can continue with chosen 5 years option to 'Self Exclusion' and confirming modal should display.",""
"passed","Mon Jan 24 16:51:19 EET 2022","Mon Jan 24 16:51:32 EET 2022","12593","","Inbox functionality testing","","Inbox functionality testing","#11 Player can delete a message using the message options, removing it from the list","#11 Player can delete a message using the message options, removing it from the list",""
"passed","Mon Jan 24 16:54:29 EET 2022","Mon Jan 24 16:54:43 EET 2022","13364","","My Account > Gambling Controls > Deposit Limits","","My Account > Gambling Controls > Deposit Limits","#21 Player can close 'History' modal.","#21 Player can close 'History' modal.",""
"passed","Mon Jan 24 16:58:30 EET 2022","Mon Jan 24 16:58:54 EET 2022","24290","","My Account > Settings > Change Password","","My Account > Settings > Change Password","#15 Player can successfully update and sign in with their new password.","#15 Player can successfully update and sign in with their new password.",""
"passed","Mon Jan 24 16:59:38 EET 2022","Mon Jan 24 16:59:42 EET 2022","3126","","Registration > Step 1","","Registration > Step 1","#28 User can enter valid details on Step 1 and progress to Step 2 of the registration process.","#28 User can enter valid details on Step 1 and progress to Step 2 of the registration process.",""
"passed","Mon Jan 24 16:55:25 EET 2022","Mon Jan 24 16:55:33 EET 2022","7476","","Recover Password","","Recover Password","#04 Player can select the 'Cancel and Back To Login' link and is displayed the login section.","#04 Player can select the 'Cancel and Back To Login' link and is displayed the login section.",""
"passed","Mon Jan 24 16:57:13 EET 2022","Mon Jan 24 16:57:27 EET 2022","14372","","My Account > Settings > Change Password","","My Account > Settings > Change Password","#10 New password must contain a minimum of 8 characters.","#10 New password must contain a minimum of 8 characters.",""
"passed","Mon Jan 24 16:53:59 EET 2022","Mon Jan 24 16:54:17 EET 2022","17984","","My Account > Gambling Controls > Account Closure > Self Exclusion","","My Account > Gambling Controls > Account Closure > Self Exclusion","#17 Player can press 'BACK' for confirmating modal after chosen for 6 months 'Self Exclusion' and should return to previous step.","#17 Player can press 'BACK' for confirmating modal after chosen for 6 months 'Self Exclusion' and should return to previous step.",""
"passed","Mon Jan 24 16:55:15 EET 2022","Mon Jan 24 16:55:30 EET 2022","14852","","My Account > Settings > Change Password","","My Account > Settings > Change Password","#02 Current Password is a mandatory field.","#02 Current Password is a mandatory field.",""
"passed","Mon Jan 24 16:49:19 EET 2022","Mon Jan 24 16:49:32 EET 2022","13244","","Logout","","Logout","#02 Player is logged out of site if clearing there cookies.","#02 Player is logged out of site if clearing there cookies.",""
"passed","Mon Jan 24 16:56:59 EET 2022","Mon Jan 24 16:57:13 EET 2022","14127","","My Account > Settings > Change Password","","My Account > Settings > Change Password","#09 New password must contain a combination of upper and lower case letters (all lower case).","#09 New password must contain a combination of upper and lower case letters (all lower case).",""
"passed","Mon Jan 24 16:58:41 EET 2022","Mon Jan 24 16:59:01 EET 2022","19370","","Spin Zone functionality testing","","Spin Zone functionality testing","#8 Player can open 'Search Games' modal","#8 Player can open 'Search Games' modal",""
"passed","Mon Jan 24 16:54:40 EET 2022","Mon Jan 24 16:55:00 EET 2022","20102","","My Account > Settings > Change Password","","My Account > Settings > Change Password","#00 Player can close the Change Password modal.","#00 Player can close the Change Password modal.",""
"passed","Mon Jan 24 16:58:35 EET 2022","Mon Jan 24 16:58:43 EET 2022","7172","","Registration > Step 3","","Registration > Step 3","#03 Player can select the Manual Input button and is displayed the address inputs.","#03 Player can select the Manual Input button and is displayed the address inputs.",""
"passed","Mon Jan 24 16:59:33 EET 2022","Mon Jan 24 16:59:36 EET 2022","3008","","Registration > Step 1","","Registration > Step 1","#13 Password is a mandatory field.","#13 Password is a mandatory field.",""
