"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Jun 01 12:02:41 EEST 2022","Wed Jun 01 12:03:04 EEST 2022","23147","","Registration > Step 3","","Registration > Step 3","#14 User can enter valid details on Step 3 and progress to Step 4 of the registration process.","#14 User can enter valid details on Step 3 and progress to Step 4 of the registration process.",""
"failed","Wed Jun 01 11:41:49 EEST 2022","Wed Jun 01 11:42:22 EEST 2022","33344","","Deep Link -> Loss Limits","","Deep Link -> Loss Limits","#2 Deep link to loss limits open login when not logged in before loss limits","#2 Deep link to loss limits open login when not logged in before loss limits",""
"failed","Wed Jun 01 11:45:42 EEST 2022","Wed Jun 01 11:46:05 EEST 2022","22433","","My Account > Gambling Controls > Play Reminders","","My Account > Gambling Controls > Play Reminders","#4 Player cannot continue with 'Time Limit' if a limit is not selected.","#4 Player cannot continue with 'Time Limit' if a limit is not selected.",""
"failed","Wed Jun 01 11:47:05 EEST 2022","Wed Jun 01 11:47:29 EEST 2022","24137","","Home => Terms & Conditions","","Home => Terms & Conditions","#8 User can come to the eCOGRA page from terms and conditions page","#8 User can come to the eCOGRA page from terms and conditions page",""
"failed","Wed Jun 01 11:31:47 EEST 2022","Wed Jun 01 11:32:11 EEST 2022","24108","","Promotions functionality testing. Promotions functionality for unauthenticated user.","","Promotions functionality testing. Promotions functionality for unauthenticated user.","#30 Promo image of promotion card is displayed for not login user.","#30 Promo image of promotion card is displayed for not login user.",""
"skipped","Wed Jun 01 11:51:45 EEST 2022","Wed Jun 01 11:51:45 EEST 2022","0","","My Account > Gambling Controls > Loss Limits","","My Account > Gambling Controls > Loss Limits","#11 User can successfully set their Loss Limit to the minimum allowed value and will receive a success toast on submitting the new amount. ","#11 User can successfully set their Loss Limit to the minimum allowed value and will receive a success toast on submitting the new amount. ",""
"failed","Wed Jun 01 11:46:49 EEST 2022","Wed Jun 01 11:47:47 EEST 2022","58144","","Inbox functionality testing","","Inbox functionality testing","#10 Deleting a message from the inbox which is marked as new should decrease the unread message count badge","#10 Deleting a message from the inbox which is marked as new should decrease the unread message count badge",""
"failed","Wed Jun 01 11:50:41 EEST 2022","Wed Jun 01 11:51:04 EEST 2022","23727","","My Account -> Deposit","","My Account -> Deposit","#7 Check user is able to deposit with a valid card and is presented with success modal","#7 Check user is able to deposit with a valid card and is presented with success modal",""
"failed","Wed Jun 01 11:17:22 EEST 2022","Wed Jun 01 11:18:30 EEST 2022","68107","","Promotions functionality testing. Promotions functionality for authenticated user. Blocks of promotions.","","Promotions functionality testing. Promotions functionality for authenticated user. Blocks of promotions.","#6 Active promotion is excluded from the featured section.","#6 Active promotion is excluded from the featured section.",""
"failed","Wed Jun 01 11:59:08 EEST 2022","Wed Jun 01 11:59:32 EEST 2022","23693","","UnsubscribePage","","UnsubscribePage","#4 User can check ‘Other’ radio button and the text input will be displayed","#4 User can check ‘Other’ radio button and the text input will be displayed",""
"failed","Wed Jun 01 11:46:18 EEST 2022","Wed Jun 01 11:46:41 EEST 2022","23122","","Live Casino","","Live Casino","#16 All available categories will be displayed and user click/taps on category then user go to the category.","#16 All available categories will be displayed and user click/taps on category then user go to the category.",""
"failed","Wed Jun 01 11:19:05 EEST 2022","Wed Jun 01 11:19:42 EEST 2022","36939","","Promotions functionality testing. Promotions functionality for authenticated user. Blocks of promotions.","","Promotions functionality testing. Promotions functionality for authenticated user. Blocks of promotions.","#8 Active promotions are excluded from the promotions section.","#8 Active promotions are excluded from the promotions section.",""
"failed","Wed Jun 01 12:00:16 EEST 2022","Wed Jun 01 12:00:42 EEST 2022","25386","","Registration > Step 4","","Registration > Step 4","#02 User can navigate back to the previous step.","#02 User can navigate back to the previous step.",""
"failed","Wed Jun 01 11:43:58 EEST 2022","Wed Jun 01 11:44:21 EEST 2022","22680","","Live Casino","","Live Casino","#07 The hero carousel slide is displayed, user click on arrow of navigation/swipes hero carousel slide then the content of the carousel will scroll.","#07 The hero carousel slide is displayed, user click on arrow of navigation/swipes hero carousel slide then the content of the carousel will scroll.",""
"failed","Wed Jun 01 11:43:59 EEST 2022","Wed Jun 01 11:44:22 EEST 2022","23088","","Home => Terms & Conditions","","Home => Terms & Conditions","#0 User can come to the terms and conditions page","#0 User can come to the terms and conditions page",""
